artist,name,type,country,birthdate,deathdate
Counting Crows,Counting Crows,Group,US,1991,False
BIA,Bïa,Person,BR,,False
Bas,Bas,Person,US,1987-05-27,False
Mora,Mora Mora,,,,False
Aaron Lewis,Aaron Lewis,Person,US,1972-04-13,False
Big Red Machine,Red Machine,,,,False
G Herbo,G Herbo,Person,US,1994-11-08,False
Wizkid,Wizkid,Person,NG,1990-07-16,False
Tai Verdes,Tai Verdes,Person,US,1995-12-06,False
Jameson Rodgers,Jameson Rodgers,Person,US,,False
Nio Garcia,Nio García,Person,PR,1989-04-03,False
The Lemonheads,The Lemonheads,Group,US,1984,False
will.i.am,will.i.am,Person,US,1975-03-15,False
Serge Gainsbourg,Serge Gainsbourg,Person,FR,1928-04-02,True
Måneskin,Måneskin,Group,IT,2016,False
Elvie Shane,Elvie Shane,Person,,,False
Migos,Migos,Group,US,2008,False
Lorde,Lorde,Person,NZ,1996-11-07,False
Quality Control,Quality Control,Group,,2017-12-08,False
WILLOW,WILLOW,Person,US,2000-10-31,False
Los Legendarios,Los Legendarios,Group,PR,,False
Regard,Regard,Person,,1993,False
Cochise,Cochise,Group,DE,1979,True
Chase Rice,Chase Rice,Person,US,1986-09-19,False
MO3,MO3,Person,US,1992-05-31,True
8-Bit Arcade,8-Bit Arcade,Person,,,False
Los 50 De Joselito,Los 50 de Joselito,Group,CO,,False
Juan Villareal y Sus Cachorros,Juan Villareal,Person,,,False
Nat King Cole,Nat King Cole,Person,US,1919-03-17,True
Bella Poarch,Bella Poarch,Person,US,1997-02-08,False
Ali Tabatabaee,Ali Tabatabaee,Person,US,1973-02-27,False
Cico P,Cico P,Person,,1998-02-06,False
Gera MX,Gera MX,Person,MX,1994-07-15,False
Young Stoner Life,Young Stoner Life,Group,,,False
Ryan Hurd,Ryan Hurd,Person,US,1986-11-02,False
DMX,DMX,Person,US,1970-12-18,True
Alphaville,Alphaville,Group,DE,1983,False
Duncan Laurence,Duncan Laurence,Person,NL,1994-04-11,False
ROSÉ,Karen Rose,Person,US,,False
Maroon 5,Maroon 5,Group,US,2002,False
Nelly,Nelly,Person,US,1974-11-02,False
Elle King,Elle King,Person,US,1989-07-03,False
Prince Herzel,Prince,Person,US,1958-06-07,True
Mooski,Mooski,Group,,,False
Nipsey Hussle,Nipsey Hussle,Person,US,1985-08-15,True
Masked Wolf,Masked Wolf,Person,AU,1991-02-12,False
Rascal Flatts,Rascal Flatts,Group,US,1999,True
Pooh Shiesty,Pooh Shiesty,Person,US,2000-11-08,False
G-Eazy,G‐Eazy,Person,US,1989-05-24,False
Ava Max,Ava Max,Person,US,1994-02-16,False
Jason Derulo,Jason Derulo,Person,US,1989-09-21,False
Morray,Morray,Person,,,False
YBN Nahmir,YBN Nahmir,Person,US,1999-12-18,False
SpotemGottem,SpotemGottem,Person,US,2001-10-19,False
Ant Clemons,Ant Clemons,Person,US,1991-09-26,False
Tenille Arts,Tenille Arts,Person,CA,1994-04-19,False
Jazmine Sullivan,Jazmine Sullivan,Person,US,1987-04-09,False
Erica Banks,Erica Banks,Person,US,1998-10-05,False
Florida Georgia Line,Florida Georgia Line,Group,US,2010,True
thủy,thuy,Person,,1991-10-29,False
Glass Animals,Glass Animals,Group,GB,2010-01-01,False
Playboi Carti,Playboi Carti,Person,US,1996-09-13,False
All Time Low,All Time Low,Group,US,2003,False
Bing Crosby,Bing Crosby,Person,US,1903-05-03,True
Donny Hathaway,Donny Hathaway,Person,US,1945-10-01,True
Eagles,Eagles,Group,US,1971,False
The Beach Boys,The Beach Boys,Group,US,1961,False
Michael Bublé,Michael Bublé,Person,CA,1975-09-09,False
Popp Hunna,Popp Hunna,Person,,2000-10-21,False
DDG,DDG,Person,,1997-10-10,False
Kid Cudi,Kid Cudi,Person,US,1984-01-30,False
Paul McCartney,Paul McCartney,Person,GB,1942-06-18,False
Mariah Carey,Mariah Carey,Person,US,1969-03-27,False
Trey Lewis,Trey Lewis,Person,US,,False
TV Girl,TV Girl,Group,US,2010,False
Audien,Audien,Person,US,1992-01-11,False
Mike WiLL Made-It,Mike WiLL Made‐It,Person,US,1989-03-23,False
Darius Rucker,Darius Rucker,Person,US,1966-05-13,False
CJ,CJ Bolland,Person,BE,1971-06-18,False
Confetti,Confetti’s,Group,BE,1988,True
BeatKing,BeatKing,Person,US,1984-11-24,False
Ty Dolla $ign,Ty Dolla $ign,Person,US,1985-04-13,False
H.E.R.,H.E.R.,Person,US,1997-06-27,False
Tears For Fears,Tears for Fears,Group,GB,1981,False
Larray,Larray,Person,,1998-07-22,False
BRS Kash,BRS Kash,Person,,1993-05-15,False
Incubus,Incubus,Group,US,1991,False
Bebe Rexha,Bebe Rexha,Person,US,1989-08-30,False
Clairo,Clairo,Person,US,1998-08-18,False
Fleetwood Mac,Fleetwood Mac,Group,GB,1967-07,False
Why Don't We,Why Don’t We,Group,US,2016-09-27,False
Ne-Yo,Ne‐Yo,Person,US,1979-10-18,False
ZAYN,ZAYN,Person,,1993-01-12,False
Chris Lane,Chris Lane,Person,,1984-11-09,False
Niko Moon,Niko Moon,Person,US,1982-09-20,False
Ritt Momney,Ritt Momney,Group,,,False
YFN Lucci,YFN Lucci,Person,US,1991-02-16,False
Sada Baby,Sada Baby,Person,US,1992-11-17,False
Andrew Jannakos,Andrew Jannakos,Person,,,False
Vedo,Vedo,Person,US,,False
Styles P,Styles P,Person,US,1974-11-28,False
Sech,Sech,Person,PA,1993-12-03,False
Big Sean,Big Sean,Person,US,1988-03-25,False
Matt Stell,Matt Stell,Person,,,False
Dorrough Music,Dorrough Music,,,,False
WhoHeem,WhoHeem,Person,,,False
Conan Gray,Conan Gray,Person,US,1998-12-05,False
Money Man,Money Man,Person,US,1986-02-27,False
Esco Bar,Esco Bar,,,,False
24kGoldn,24kGoldn,Person,US,2000-11-13,False
Bryansanon,Bryansanon,Person,,,False
Logic,Logic,Person,US,1990-01-22,False
Topic,Topic,Person,DE,1992-03-23,False
Arcade Player,Arcade Player,,,,False
Redbone,Redbone,Group,US,1968,False
6LACK,6LACK,Person,US,1992-06-24,False
Trevor Daniel,Trevor Daniel,Person,US,1994-09-28,False
Tyla Yaweh,Tyla Yaweh,Person,US,1995-05-23,False
Jawsh 685,Jawsh 685,Person,NZ,2002-11-04,False
Chloe x Halle,Chloe × Halle,Group,US,2011,False
J.I the Prince of N.Y,J.I the Prince of N.Y,Person,,2001-09-23,False
Black Eyed Peas,Black Eyed Peas,Group,US,1995,False
Ashley McBryde,Ashley McBryde,Person,,1983-07-29,False
Brantley Gilbert,Brantley Gilbert,Person,US,1985-01-20,False
LOCASH,LOCASH,Group,US,2011,False
Kygo,Kygo,Person,NO,1991-09-11,False
MF DOOM,MF DOOM,Person,US,1971-07-13,True
Mike Posner,Mike Posner,Person,US,1988-02-12,False
Moe,moe.,Group,US,1989,False
Surf Mesa,Surf Mesa,Person,US,2000-04-10,False
Katy Perry,Katy Perry,Person,US,1984-10-25,False
Kehlani,Kehlani,Person,US,1995-04-24,False
Catherine Zeta-Jones,Catherine Zeta‐Jones,Person,GB,1969-09-25,False
Young T & Bugsey,Young T & Bugsey,Group,,2012-01-01,False
THE SCOTTS,Scotts,Group,SE,1992,False
StaySolidRocky,StaySolidRocky,Person,,,False
Maddie & Tae,Maddie & Tae,Group,US,2014,False
PARTYNEXTDOOR,PARTYNEXTDOOR,Person,CA,1993-07-03,False
Travis Denning,Travis Denning,Person,US,1992-12-01,False
JP Saxe,JP Saxe,Person,CA,1994-03-23,False
SAINt JHN,SAINt JHN,Person,GY,1986-08-26,False
Powfu,Powfu,Person,CA,1999-03-31,False
BENEE,BENEE,Person,NZ,2000-01-30,False
Jhené Aiko,Jhené Aiko,Person,US,1988-03-16,False
Surfaces,Surfaces,Group,US,2017,False
Farizki,,,,,
The Little Dippers,The Little Dippers,,,,False
Khalid,Khalid,Person,US,1998-02-11,False
Lil Mosey,Lil Mosey,Person,US,2002-01-25,False
Alicia Keys,Alicia Keys,Person,US,1981-01-25,False
Ali Gatie,Ali Gatie,Person,CA,1997-05-31,False
Tonight I'm Garth Brooks,Garth Brooks,Person,US,1962-02-07,False
John Legend,John Legend,Person,US,1978-12-28,False
BROCKHAMPTON,BROCKHAMPTON,Group,US,2015-01,True
JACKBOYS,JACKBOYS,Group,US,2019,False
Noah Cyrus,Noah Cyrus,Person,US,2000-01-08,False
Darlene Love,Darlene Love,Person,US,1941-07-26,False
Chuck Berry,Chuck Berry,Person,US,1926-10-18,True
Frank Sinatra,Frank Sinatra,Person,US,1915-12-12,True
Dean Martin,Dean Martin,Person,US,1917-06-07,True
Thurl Ravenscroft,Thurl Ravenscroft,Person,US,1914-02-06,True
Fat Joe,Fat Joe,Person,US,1970-08-19,False
José Feliciano,José Feliciano,Person,US,1945-09-10,False
The Ronettes,The Ronettes,Group,US,1959,True
Gene Autry,Gene Autry,Person,US,1907-09-29,True
Andy Williams,Andy Williams,Person,US,1927-12-03,True
Brenda Lee,Brenda Lee,Person,US,1944-12-11,False
Wham!,Wham!,Group,GB,1981,True
Bobby Helms,Bobby Helms,Person,US,1933-08-15,True
Burl Ives,Burl Ives,Person,US,1909-06-14,True
Idina Menzel,Idina Menzel,Person,US,1971-05-30,False
Panic! At The Disco,Panic! at the Disco,Group,US,2004,True
Rexx Life Raj,Rexx Life Raj,Person,US,1990-01-30,False
Party Tyme Karaoke,House Party Karaoke,Group,,,False
Ant Saunders,Ant Saunders,Person,US,,False
Arizona Zervas,Arizona Zervas,Person,US,1995-04-19,False
Frank Ocean,Frank Ocean,Person,US,1987-10-28,False
DaniLeigh,DaniLeigh,Person,US,1994-12-20,False
A Day To Remember,A Day to Remember,Group,US,2003-06,False
Michael Jackson,Michael Jackson,Person,US,1958-08-29,True
ScHoolboy Q,ScHoolboy Q,Person,,1986-10-26,False
Tones And I,Tones and I,Person,AU,1998-05-13,False
French Montana,French Montana,Person,US,1984-11-09,False
DJ Snake,DJ Snake,Person,FR,1986-06-13,False
blackbear,blackbear,Person,US,1990-11-27,False
A$AP Rocky,A$AP Rocky,Person,US,1988-10-03,False
for KING & COUNTRY,for KING & COUNTRY,Group,US,2007,False
Peaceful Noise,Peaceful Noise,Person,,,False
Swae Lee,Swae Lee,Person,US,1993-06-07,False
Thomas Webster,Ben Webster,Person,US,1909-03-27,True
Runaway June,Runaway June,Group,US,2015,False
Sarah Jeffery,Sarah Jeffery,Person,CA,1996-04-03,False
Ambjaay,Ambjaay,Person,,,False
TOOL,Tool,Group,US,1990,False
Rick Ross,Rick Ross,Person,,1976-01-28,False
Chance the Rapper,Chance the Rapper,Person,US,1993-04-16,False
Blueface,Blueface,Person,US,1997-01-20,False
Blue Ivy,Ivy Blue,,,2014,False
Ellie Goulding,Ellie Goulding,Person,GB,1986-12-30,False
Mustard,Mustard,Person,US,1990-06-05,False
Daniel Caesar,Daniel Caesar,Person,CA,1995-04-05,False
Jhayco,Jhayco,Person,PR,1993-04-09,False
DJ D MAN Xtreme,D-Xtreme,Person,,1984-06-29,False
Y2K,Y2K,Person,US,,False
Martin Garrix,Martin Garrix,Person,NL,1996-05-15,False
Blanco Brown,Blanco Brown,Person,US,1985-03-24,False
Avicii,Avicii,Person,SE,1989-09-08,True
Bryce Vine,Bryce Vine,Person,US,1988-06-16,False
SHAED,SHAED,Group,US,2016-03,False
Yella Beezy,Yella Beezy,Person,,1991-10,False
Eyedress,Eyedress,Person,PH,1990-05-28,False
Ed Sheeran & Justin Bieber,Ed Sheeran,Person,GB,1991-02-17,False
Lunay,Lunay,Person,PR,2000-10-04,False
Nicky Jam,Nicky Jam,Person,PR,1980-02-25,False
PnB Rock,PnB Rock,Person,US,1991-12-09,True
Bazzi,Bazzi,Person,US,1997-08-28,False
prxmvc,,,,,
Lil Dicky,Lil Dicky,Person,US,1988-03-15,False
Otis Redding,Otis Redding,Person,US,1941-09-09,True
Dean Lewis,Dean Lewis,Person,AU,1987-10-21,False
Calboy,Calboy,Person,US,1999-04-03,False
Lauren Daigle,Lauren Daigle,Person,US,1991-09-09,False
Pinkfong,Pinkfong,Group,KR,,False
YK Osiris,YK Osiris,Person,,,False
Lil Peep,Lil Peep,Person,US,1996-11-01,True
Eli Young Band,Eli Young Band,Group,US,2000,False
Mabel,Mabel,Person,,1996-02-20,False
Pedro Capó,Pedro Capó,Person,PR,1980-11-14,False
Yo Gotti,Yo Gotti,Person,US,1981-05-19,False
Lauv,Lauv,Person,US,1994-08-08,False
Ski Mask The Slump God,Ski Mask the Slump God,Person,US,1996-04-18,False
Alec Benjamin,Alec Benjamin,Person,US,1994-05-28,False
KSI,KSI,Person,GB,1993-06-19,false
Calle 24,Calle 24,,,,false
